id,review,rating,createdAt,lastComment,qtyItem,orderedAt,orderItem,tagsData,replayComment,timeReplayComment
2b707359-1944-4c38-bff7-eb5b747c972c,"Rasa enak, kuah arehnya juga ga pelit mantep",5,2021-08-06T17:47:13.173746+07:00,,2,2021-08-06T10:01:29.937421Z,"Nasi / Bubur Gudeg Telor + Tahu, Nasi / Bubur Gudeg Ayam Suwir + Tahu",,,
cb85ffa2-f6c8-45a0-a0b4-e2c4892b2528,Hanya packagingnya aja yang kurang sreg karena pake styrofoam,5,2020-01-14T09:25:14.338+07:00,,1,2020-01-13T09:22:49.475191Z,Nasi / Bubur Gudeg Telor,,,
c90d81bf-3d06-4c68-9c74-fb12930b1648,"hari ini rasa 4 lotek yang saya pesan amburadul, asin, ada rasa pait kacang... pokoknya tidak seperti biasanya ",1,2023-11-12T14:27:49.008717+07:00,,2,2023-11-12T06:40:37.558943Z,"Lotek Kupat, Bakwan",CANNED_RESPONSE_TASTE,,
53e5f232-2f4d-43d4-ad5f-320235506322,enakkk bangetttt.. selalu seneng order disini.. masaknya cepet dan selalu pas bumbunya.. klo ada yg kosong jg lngsung dikabari mau ganti apa.. pokoknya kedai sinang kesayangan bgt..,5,2022-09-24T18:19:23.820465+07:00,,2,2022-09-24T05:59:56.197841Z,"Lotek Kupat, Gado - Gado Kupat",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_VALUE CANNED_RESPONSE_CUTLERY,,
5268335b-342a-415c-85eb-5fbdf366c855,"Pesen lotek telur Tanpa ketupat cabe 10, datengnya bakwan bumbu. Payah! Ngapain gue buang uang 40,000 buat bakwan doang!",1,2021-09-07T12:37:56.722085+07:00,,3,2021-09-07T05:00:24.416065Z,"Lotek Telur, Cabe, Kerupuk",,,
950bd823-4689-40e4-b6b2-01bbfc1950de,beda cabang agak beda rasanya..,3,2019-11-10T13:19:33.044+07:00,,2,2019-11-09T07:31:52.313962Z,"Lotek Telur, Gado - Gado Kupat",,,
0b774246-8dc0-4036-a840-80d465398502,bakpianya enak. kalo beli merek bakpiaku aja,5,2023-10-23T18:34:09.392882+07:00,,1,2023-10-18T13:48:58.539853Z,Bakpiaku Isi 20 Rasa Keju,,,
fe117557-f094-4797-a95a-cf9bc10e93a9,"sayang mungkin sdh jam 19.00 nangka gorinya sudah agak basi, jadi tdk bisa dimakan, yg lainnya OK semua",4,2023-08-08T19:14:26.690428+07:00,,2,2023-08-08T11:29:27.5764Z,"Nasi Gudeg Krecek Suwir, Nasi Gudeg Krecek Telur",CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PRICE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_CUTLERY_INCORRECT,,
9528f1b7-fa67-4cee-a86c-1a29a077f77e,the taste is good and fast delivey,5,2022-03-24T15:03:44.451318+07:00,,1,2022-03-22T10:16:24.989095Z,Nasi Gudeg Krecek Dada + Telur,CANNED_RESPONSE_TASTE,,
32bd9bd6-4798-407b-afa2-32f0d0b81ce8,"Anda layak dapat bintang, joosss gandos gudegnya, enak tp ga bikin eneg, sukses terus untuk bisnis gudegnya, bu.",5,2020-11-19T18:41:04.152+07:00,,1,2020-11-19T11:04:43.109743Z,Nasi Gudeg Krecek Telor + Tahu,CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION,,
51d35cc1-0c68-476e-b649-fa963771733e,nyeseeeeeL saya beliny 3 doang... ter Enaaak se Jogya sesuai lidah saya,5,2019-10-29T19:07:15.818+07:00,,3,2019-10-28T00:41:29.703674Z,"Nasi Gudeg Krecek Sayap, Nasi Gudeg Krecek Suwir, Nasi Gudeg Krecek Telor + Tahu",,,
47cf5fd4-82d6-4024-bc6b-d508168c0559,sippp makasii yA,5,2023-10-29T19:26:31.030885+07:00,,4,2023-10-29T11:38:17.856993Z,"Bakpia Coklat Isi 15, Bakpia Aneka Rasa Isi 10, Bakpia Kacang Hijau Isi 10, Bakpia Kacang Hijau Isi 20",CANNED_RESPONSE_PACKAGING,,
1a1966b9-374f-4e8c-b09d-8bd0e89a5302,cocok untuk jadi oleh2,5,2022-07-26T14:16:37.379295+07:00,,1,2022-07-25T07:34:48.283002Z,Bakpia Kacang Hijau Isi 20,,,
690b4a49-4e50-4c3f-9fe4-d9779ece8115,suka banget kulitnya tipis berlapis lapis dan isiannya lezat. teruskan promonya ya Kak,5,2022-01-07T12:21:56.478757+07:00,,5,2021-12-28T02:19:19.386684Z,"Bakpia Greentea isi 10, Bakpia Keju Isi 15, Bakpia Kacang Hijau Isi 10, Bakpia Keju Isi 10, Bakpia Coklat Isi 10",,,
38ce517c-0640-4d45-bd59-13cab378cedc,"beli 3 bungkus, 1 bungkusnya ada ulatnya hiks",4,2023-11-16T14:37:48.71208+07:00,,1,2023-11-06T04:19:21.821387Z,Lotek Telur,,,
f4564e11-0904-4a6e-b8dc-9952457653ed,enak bangett sayang ngak ada kerupukk 😭,5,2023-08-11T18:18:03.906676+07:00,,1,2023-08-11T05:05:54.726169Z,Lotek Kupat,CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_PORTION,,
741a0c29-d395-45cd-bb38-4fe22775c5f7,"tahu mboten gimbal biasa dapet kupat/lontong ini ga dapet sama sekali full di isi kol sama tauge 🥲 dan bumbunya jadi kuah encer sekali di tambah ulekan kacangnya mengendap 
bad sekali ",1,2023-04-18T15:10:38.918778+07:00,,4,2023-04-18T07:22:38.037357Z,"Lotek Nasi, Tahu (Mboten) Gimbal, Nasi Putih, Tjap Djaek",,,
078525b8-a01e-42b1-8450-37929e2a0c84,"saya pesan lotek telur, yg datang lotek tanpa telur. mohon lebih teliti kedepannya",3,2023-01-04T12:49:01.984383+07:00,,3,2023-01-04T04:59:39.206434Z,"Lotek Telur, Es Jeruk, Kerupuk",,,
b6715a85-11c5-4b32-8fdd-23af5049fc2f,"Yg datang lotek 2, gado-gado 1, order nya gado-gado 2, lotek 1 😑",3,2022-10-15T18:20:58.926001+07:00,,2,2022-10-15T04:33:46.268657Z,"Lotek Kupat, Gado - Gado Kupat",CANNED_RESPONSE_ORDER,,
aa15984e-dbd8-46f5-8212-ed6bd1bb808c,kurang pas bumbunya...tidak sprti dulu,2,2022-07-02T13:38:44.521925+07:00,,3,2022-07-02T03:38:49.604818Z,"Gado - Gado Kupat, Lotek Kupat, Cap Cay Goreng / Rebus",,,
ceafb04e-8241-45a4-a616-ee56ebccb3c8,tks sdh mengantar pesanan makanan sampai kami,5,2022-05-03T12:43:08.603344+07:00,,1,2022-05-03T04:30:00.151077Z,Lotek Kupat,,,
393ddb77-2e6e-4484-8314-2c61598131de,"add tomatoes, please",4,2022-01-15T17:54:25.198153+07:00,,2,2022-01-15T04:53:08.154209Z,"Lotek Kupat, Bakwan",CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION,,
8e4a21e9-391b-4079-be70-f5e279d5b56d,Ada ulatnya... mohon dijaga kebersihannya 🙏,3,2021-11-20T10:16:42.876732+07:00,,2,2021-11-20T02:02:48.766846Z,"Lotek Kupat, Bakwan",,,
b36a17eb-0bd3-43f9-8645-0547176b01f7,Langganan keluarga,5,2021-08-22T15:18:03.056977+07:00,,3,2021-08-21T03:24:38.165731Z,"Lotek Telur, Gado - Gado Kupat, Kerupuk",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
50346ffd-141c-4b10-a8b5-385f7f52f459,Pesen gado gado isinya Kobis semua 🥵🥵🥵,3,2021-06-22T12:40:06.011699+07:00,,2,2021-06-20T04:49:14.64369Z,"Gado - Gado Kupat, Lotek Telur",,,
87bf9b5f-8b14-408c-90a1-bba5b10b1705,porsinya melimpah,5,2021-02-24T13:57:47.428662+07:00,,3,2021-02-24T06:12:31.250169Z,"Lotek Kupat, Tahu (Mboten) Gimbal, Tahu / Tempe Bacem",CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
b93462b6-e6b1-4547-b5da-26c2fcf38d90,"loteknya enak, tapi bihun gorengnya rasa micin, kayaknya kedobel ngasih micinnya 😵",3,2020-09-11T13:49:17.196+07:00,,2,2020-09-11T06:17:09.746773Z,"Bihun Boreng / Rebus, Lotek Kupat",,,
4bfb4aae-04cf-4323-9575-83551f5d4003,di lotek saya ada kalajengking matinya,1,2020-03-03T15:23:26.855+07:00,,1,2020-03-03T07:46:07.528523Z,Lotek Bumbu Pisah,,,
37781fbf-0f5c-46ad-aff8-434bcd9c1e0f,kerupuknya melempem,4,2020-01-12T14:40:49.007+07:00,,1,2020-01-12T07:00:12.376964Z,Lotek Kupat,,,
ba3b44ef-8dc4-4d76-8e0c-a04dac9049e1,"Biassnya telur rebus, ini kok diberi telur dadar..?",3,2019-12-15T04:43:08.168+07:00,,1,2019-12-11T04:52:58.756309Z,Lotek Telur,,,
30d20356-fa4e-4755-a921-931439da0c03,kobis terlalu banyak,4,2019-11-15T19:14:36.511+07:00,,1,2019-11-15T04:20:14.237022Z,Lotek Kupat,,,
72b76f09-de0f-4902-9b7e-1240112cc0cc,"jusnya kurang lama ngeblendernya, jadi masih ada yang utuh buahnya.",4,2019-09-20T14:20:45.706+07:00,,2,2019-09-20T06:40:07.221856Z,"Lotek Kupat, Jus Sirsak",CANNED_RESPONSE_TASTE,,
b2d77f32-691b-49f0-912c-85e2ae8a5af6,"Rasa enak, porsi banyak, ikan gak amis.. Cocok utk yg lagi belajar makan ikan
. Mantab pokoknya",5,2021-11-11T12:57:17.614997+07:00,,3,2021-10-29T06:43:52.048861Z,"Ngikan POP!, Ikan Sambal Oseng Mercon, Ikan Sambal Woku",CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
1c993b23-709a-4c7c-9532-e4c01f3d65af,Nasinya kurang empuk,4,2021-03-02T11:31:44.465836+07:00,,1,2021-02-26T06:33:18.997372Z,Ikan Sambal Oseng Mercon,,,
cfd64be0-06ad-4fdc-a743-4e16a1b05595,bakpia yg rasa kumbu hitam tidak fresh,4,2023-10-04T16:54:11.462372+07:00,,4,2023-09-30T12:06:53.365202Z,"Bakpia Basah Kumbu Hitam Isi 15, Bakpia Basah Keju Isi 15, Bakpia Kacang Hijau Original Isi 10 - Juwara Satoe, Bakpia Basah Coklat Premium Isi 15",,,
c33bce4e-fc36-49f0-98b7-1097d60bb407,"mantap, besar2 bakpiany",5,2022-10-13T14:45:35.654287+07:00,,2,2022-10-09T02:00:35.107485Z,"Bakpia Basah Kumbu Hitam Isi 15 - Juwara Satoe, Bakpia Basah Kacang Hijau Isi 15 - Juwara Satoe",CANNED_RESPONSE_TASTE,,
37347e12-7fb5-46f7-831d-82364c79552b,"masih ada beberapa helai rambut, tolong diikat ya kalau sedang masak.",3,2023-04-29T12:30:57.848391+07:00,,2,2023-04-29T04:58:40.855545Z,"Lotek Sayur, Lotek Sayur",CANNED_RESPONSE_HYGIENE,,
bf5269d5-1b3f-4ac4-8617-8d3faccbfe7e,"Sempat ada yang kurang, tapi restonya fast respon waktu dikomplain via WA yang ada di info resto & bertanggung jawab mengantarkan kekurangannya. Terima kasih",5,2021-11-06T14:24:46.114054+07:00,,3,2021-11-06T05:50:16.739535Z,"Kupat Tahu, Gorengan (Tempe, Bakwan), Paket Lotek + Gorengan",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
9e42e307-360b-40dc-b380-cc819a91219a,mantap enakk pooll 🤩,5,2023-11-23T19:24:42.723251+07:00,,3,2023-11-23T11:31:51.829817Z,"Gado-gado, Krupuk Lotek, Bakwan",,,
2a11a852-9fc9-4aad-9abb-1730aae2bc09,bumbunya kurang berasa ,3,2022-05-10T15:54:03.442494+07:00,,1,2022-05-10T02:44:29.564306Z,Bakso Mercon,,,
53bf3464-f8e1-42a3-8e9a-6abbf804af17,gak enak blas gal lengkap sayurnya,1,2023-11-22T14:25:59.428148+07:00,,1,2023-11-22T06:44:45.728769Z,Lotek Biasa,CANNED_RESPONSE_TASTE CANNED_RESPONSE_VALUE,,
c3858b10-2189-4ad0-b6e0-d7daf9f2fb93,"Kadang bumbunya enak, kadang hambar",4,2022-07-04T11:56:51.7916+07:00,,1,2022-07-03T04:48:42.944184Z,Lotek + Telur,,,
b0052182-9e8a-4245-a75d-33dff6f9e1c9,Pesen minta pedes g pernah pedes. Smp dtulis lbh pdes dr kmrn. Ttp sm aj,3,2021-11-16T07:59:01.096747+07:00,,1,2021-11-10T04:36:31.156286Z,Lotek Biasa,CANNED_RESPONSE_ORDER CANNED_RESPONSE_ORDER,,
76f2982b-9c86-45a8-89ac-9ef4bcedf2a9,tahu bakso'a kurang asin dikit 🤭,5,2021-05-27T12:41:05.89536+07:00,,3,2021-05-27T05:02:50.373117Z,"Lotek Biasa, Tahu Bakso, Gado-gado Biasa",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
400b3141-145e-4fa5-a7f6-49e2fd47cfab,pesan nasi pecel + telur tapi yang datang tanpa telur. Dan harganya tidak berkurang. cek lagi ketelitian,2,2020-06-28T21:46:57.729+07:00,,2,2020-06-28T04:06:52.840271Z,"Lotek + Telur, Nasi Pecel + Telur",CANNED_RESPONSE_PORTION,,
b2508bd6-5727-44be-af0d-89aafbf177b3,"lotek : minim sayur
gado gado : dominasi kobis",3,2020-02-23T09:46:34.293+07:00,,3,2020-02-19T04:13:25.452866Z,"Lotek Biasa, Gado - Gado + Telur, Gorengan",,,
c846f394-b8d3-496a-a7cc-3283bd2ddc4c,"bumbu loteknya kurang sedep, gorengannya juga melempem",3,2019-12-13T14:02:13.419+07:00,,2,2019-12-13T04:40:47.119349Z,"Gado - Gado + Telur, Lotek Biasa",CANNED_RESPONSE_TASTE,,
16d06467-d71d-4d9c-9799-95fb0c71b595,"pesen lotek + telur, tapi ngga ada telurnya 👍",4,2019-09-06T11:58:27.711+07:00,,2,2019-09-06T04:29:24.433678Z,"Lotek + Telur, Bakwan",CANNED_RESPONSE_PORTION,,
f705cff0-3e7a-48a5-982b-87ee7610f8b9,bakso/pentol merconnya belum matang,3,2021-11-01T07:52:13.490665+07:00,,4,2021-11-01T00:07:22.568716Z,"Sate Ayam Biasa, Tahu Tek Telur, Es Teh, Bakso Mercon",,,
899b1897-7d9e-4e0c-bd59-ade2afe5131c,bakso nya enak sih tapi kuah nya uuuuaasiiinn bgt..yg jual pngn kawin kah😭🤣,3,2022-05-20T16:38:21.266021+07:00,,2,2022-05-20T08:49:21.530278Z,"Bakso Mercon, Bakso isi Daging Cincang",CANNED_RESPONSE_TASTE,,
f2e2adea-6ae4-4e02-bfac-d7324cfff225,"sedih bgtt pesan es jeruk tp es jeruknya ga dikasih, ntah emg lg banyak pesanan atau gmn tapi lain kali tolong diperhatikan lagi ya pesanannya:(",3,2023-10-03T11:46:25.202401+07:00,,5,2023-10-03T04:10:21.803187Z,"Lotek Kupat, Magelangan, Es Jeruk, Kupat Tahu, Kerupuk",,,
3e51581b-c3f1-4a0e-821d-1b3ceb1708fe,pesen lotek telurr .. yg dateng lotek tanpa telurrr bosss.. haduh,2,2022-02-20T16:15:02.999476+07:00,,2,2022-02-20T08:34:49.609394Z,"Lotek Telur, Gado - Gado Kupat",CANNED_RESPONSE_ORDER,,
55761918-7347-401e-b4cb-bac9939479a5,akurasi pesanan perlu ditingkatkan,3,2021-06-20T13:10:04.043452+07:00,,2,2021-06-20T05:02:28.49789Z,"Lotek Kupat, Bakwan",,,
2290a39a-1ed5-419d-9e10-95ad389f57a0,"pesennya lotek telur, tp ngga dikasih telur.",1,2019-11-22T18:28:57.261+07:00,,3,2019-11-22T10:27:58.197936Z,"Telur Dadar / Ceplok / Rebus, Bakwan, Lotek Telur",,,
793c383a-72e1-4eea-85b6-0f2b78cc25e1,bumbunya terlalu manis,3,2019-09-30T19:55:39.066+07:00,,2,2019-09-28T03:52:40.916185Z,"Gado - Gado Kupat, Lotek Telur",CANNED_RESPONSE_TASTE,,
66660870-ffe8-4bcf-b423-e1af89d2f15a,mie goreng oseng lombok ijo nya diganti bihun tanpa pemberitahuan ,2,2023-01-04T06:50:48.628164+07:00,"{'id': '7e446721-0cb4-43e4-8d56-8886e1ab7211', 'text': 'Halo kak\nMohon maaf sebelumnya.. \nMaaf u konfirmasi saja..Oseng mie itu memang bihun yaa kak jdi kami tdk bermaksud membuat kesalahan. 🙏', 'createdAt': '2023-01-05T10:42:17.054122534+07:00', 'author': {'fullName': 'Ika Yulita', 'isMerchant': True}}",4,2023-01-03T23:27:09.345953Z,"Paket Nasi Kuning Rica Ati, Nasi Kuning Lincak, Oseng Mie, Bergedel",CANNED_RESPONSE_ORDER,"Halo kak
Mohon maaf sebelumnya.. 
Maaf u konfirmasi saja..Oseng mie itu memang bihun yaa kak jdi kami tdk bermaksud membuat kesalahan. 🙏",2023-01-05T10:42:17.054122534+07:00
ce561da4-05c1-43df-970b-4d662b1b39db,"yang ga enak cuma pentolnya,astaga ga dikasih sambel acan,rasanya anyep bgt pula 😂 bukan pentol malah kayak cilok biasa 🤣 ",5,2022-06-28T22:21:09.147775+07:00,,5,2022-06-27T02:13:22.399283Z,"Oseng Mie, Kering Tempe, Bergedel, Rica-rica Ati Ampela Ayam, Ayam Suwir Pedas",,,
